TRACT	APN	ISSUEDATE	LOT	FOLDERNUMBER	OWNERNAME	CONTRACTOR	APPLICANT	JOBLOCATION	PERMITAPPROVALS	SUBCODE	SUBDESC	WORKCODE	WORKDESC	CENSUSCODE	PERMITVALUATION	REROOFVALUATION	SQFT	DWELLUNITS	FOLDERRSN	SWIMMINGPOOL	SEWER	ENTERPRISE	PERMITFLAG
		1/1/2001		2001-103616-000-00-TM	 	NONE	NONE	 		4030	Single Family	140	New Construction		0	0	0	0	3616	N	N	N	NNNN
		1/1/2001		2001-104137-000-00-TM	 	NONE	NONE	9310 TRACT   TRACT NUMBER 9310		4030	Single Family	140	New Construction		0	0	0	0	4137	N	N	N	NNNN
		1/2/2001		2000-022315-000-00-BD	 	NONE	EXTERIOR SOLUTIONS INC   	1134 OLIVE BRANCH LN  1134  OLIVE BRANCH LN 	B-Complete	4054	Online Permits	220	ReRoof		0	0	0	0	873652	N	N	N	YNNN
		1/2/2001		2000-022319-000-00-BD	 	NONE	JNSJ ROOFING INC   	2949 MAGLIOCCO DR  2949  MAGLIOCCO DR 	B-Complete	4054	Online Permits	220	ReRoof		0	0	0	0	873655	N	N	N	YNNN
		1/2/2001		2000-022311-000-00-BD	 	NONE	JUST WATER HEATERS INC   	1363 STOCKBRIDGE DR  1363  STOCKBRIDGE DR 	P-Complete	4054	Online Permits	30	Additions/Alterations		0	0	0	0	873648	N	N	N	NYNN
		1/2/2001		2000-022313-000-00-BD	 	NONE	JUST WATER HEATERS INC   	3319 CARDIN AV  3319  CARDIN AV 	P-Complete	4054	Online Permits	30	Additions/Alterations		0	0	0	0	873650	N	N	N	NYNN
		1/2/2001		2000-022317-000-00-BD	 	NONE	WATER HEATERS ONLY INC   	5518 CASTLE MANOR DR  5518  CASTLE MANOR DR 	P-Complete	4054	Online Permits	30	Additions/Alterations		0	0	0	0	873653	N	N	N	NYNN
		1/2/2001		2000-022320-000-00-BD	 	NONE	WATER HEATERS ONLY INC   	469 CARPENTIER WY  469  CARPENTIER WY 	P-Complete	4054	Online Permits	30	Additions/Alterations		0	0	0	0	873656	N	N	N	NYNN
		1/2/2001		2000-022323-000-00-BD	 	NONE	WATER HEATERS ONLY INC   	1752 CAPE CORAL DR  1752  CAPE CORAL DR 	P-Complete	4054	Online Permits	30	Additions/Alterations		0	0	0	0	873658	N	N	N	NYNN
		1/2/2001		2000-022334-000-00-BD	 	NONE	WATER HEATERS ONLY INC   	97 CHERRY BLOSSOM DR  97  CHERRY BLOSSOM DR 	P-Complete	4054	Online Permits	30	Additions/Alterations		0	0	0	0	873667	N	N	N	NYNN
		1/2/2001		2000-022333-000-00-BD	 	NONE	WATER HEATERS ONLY INC   	2524 CHERRY AV  2524  CHERRY AV 	P-Complete	4054	Online Permits	30	Additions/Alterations		0	0	0	0	873666	N	N	N	NYNN
		1/2/2001		2000-022332-000-00-BD	 	NONE	WATER HEATERS ONLY INC   	7216 VIA VISTA   7216  VIA VISTA  	P-Complete	4054	Online Permits	30	Additions/Alterations		0	0	0	0	873665	N	N	N	NYNN
		1/2/2001		2000-022330-000-00-BD	 	NONE	WATER HEATERS ONLY INC   	1903 DANIEL MALONEY DR  1903  DANIEL MALONEY DR 	P-Complete	4054	Online Permits	30	Additions/Alterations		0	0	0	0	873664	N	N	N	NYNN
		1/2/2001		2000-022328-000-00-BD	 	NONE	WATER HEATERS/MORE PLUMBING   	1187 ALMADEN AV  1187  ALMADEN AV 	P-Complete	4054	Online Permits	30	Additions/Alterations		0	0	0	0	873663	N	N	N	NYNN
		1/2/2001		2000-022327-000-00-BD	 	NONE	WATER HEATERS ONLY INC   	4208 CRESCENDO AV  4208  CRESCENDO AV 	P-Complete	4054	Online Permits	30	Additions/Alterations		0	0	0	0	873662	N	N	N	NYNN
		1/2/2001		2000-022326-000-00-BD	 	NONE	WATER HEATERS ONLY INC   	409 12TH ST  409 N 12TH ST 	P-Complete	4054	Online Permits	30	Additions/Alterations		0	0	0	0	873661	N	N	N	NYNN
		1/2/2001		2000-022325-000-00-BD	 	NONE	WATER HEATERS ONLY INC   	3410 CAROBWOOD CT  3410  CAROBWOOD CT 	P-Complete	4054	Online Permits	30	Additions/Alterations		0	0	0	0	873660	N	N	N	NYNN
		1/2/2001		2000-022324-000-00-BD	 	NONE	WATER HEATERS ONLY INC   	3098 IRLANDA WY  3098  IRLANDA WY 	P-Complete	4054	Online Permits	30	Additions/Alterations		0	0	0	0	873659	N	N	N	NYNN
		1/2/2001		2000-022331-000-00-BD	 	NONE	NONE	1495 HANCHETT AV 	P						0	0	0	0	818106	N	N	N	NNNN
		1/2/2001		2000-022335-000-00-BD	 	NONE	NONE	5034 CRIBARI VALE  	P						0	0	0	0	818070	N	N	N	NNNN
		1/2/2001		2000-022336-000-00-BD	 	NONE	NONE	484 IVANHOE CT 	P						0	0	0	0	818069	N	N	N	NNNN
		1/2/2001		2000-022329-000-00-BD	 	NONE	NONE	1402 CLARITA AV 	P						0	0	0	0	818065	N	N	N	NNNN
		1/2/2001		2000-022321-000-00-BD	 	NONE	NONE	3527 PINE CREEK DR 	P						0	0	0	0	818060	N	N	N	NNNN
		1/2/2001		2000-022305-000-00-BD	 	NONE	NONE	863 CLEARVIEW DR 	B						0	0	0	0	818053	N	N	N	NNNN
		1/2/2001		2000-022316-000-00-BD	 	NONE	NONE	1145 JANIS WY 	P						0	0	0	0	814029	N	N	N	NNNN
		1/2/2001		2000-022309-000-00-BD	 	NONE	NONE	6454 MATTHEW CT 	P						0	0	0	0	814022	N	N	N	NNNN
		1/2/2001		2000-022308-000-00-BD	 	NONE	NONE	7082 KINDRA HILL DR 	P						0	0	0	0	814021	N	N	N	NNNN
		1/2/2001		2000-022322-000-00-BD	 	NONE	WATER HEATERS ONLY INC   	810 RAINTREE DR  810  RAINTREE DR 	P-Complete	4054	Online Permits	30	Additions/Alterations		0	0	0	0	873657	N	N	N	NYNN
		1/2/2001		2000-022318-000-00-BD	 	NONE	WATER HEATERS ONLY INC   	4949 NORTHLAWN DR  4949  NORTHLAWN DR 	P-Complete	4054	Online Permits	30	Additions/Alterations		0	0	0	0	873654	N	N	N	NYNN
		1/2/2001		2000-022314-000-00-BD	 	NONE	JUST WATER HEATERS INC   	1567 MISSION SPRINGS CL  1567  MISSION SPRINGS CL 	P-Complete	4054	Online Permits	30	Additions/Alterations		0	0	0	0	873651	N	N	N	NYNN
		1/2/2001		2000-022312-000-00-BD	 	NONE	JUST WATER HEATERS INC   	1635 GLENVILLE DR  1635  GLENVILLE DR 	P-Complete	4054	Online Permits	30	Additions/Alterations		0	0	0	0	873649	N	N	N	NYNN
		1/2/2001		2000-022310-000-00-BD	 	NONE	JUST WATER HEATERS INC   	5769 HARDER ST  5769  HARDER ST 	P-Complete	4054	Online Permits	30	Additions/Alterations		0	0	0	0	873647	N	N	N	NYNN
		1/2/2001		2000-022307-000-00-BD	 	NONE	JUST WATER HEATERS INC   	1584 KINGMAN AV  1584  KINGMAN AV 	P-Complete	4054	Online Permits	30	Additions/Alterations		0	0	0	0	873646	N	N	N	NYNN
		1/2/2001		2000-022306-000-00-BD	 	NONE	JUST WATER HEATERS INC   	360 SPODE WY  360  SPODE WY 	P-Complete	4054	Online Permits	30	Additions/Alterations		0	0	0	0	873645	N	N	N	NYNN
0		1/3/2001	0	2001-050039-000-00-MF	 	  	NONE	2671 PLUMMER AV   (M)	M	4000	Apartment/Condo	140	New Construction		0	0	0	0	818253	N	N	N	NNNN
0		1/3/2001	0	2001-050050-000-00-MF	 	 JOSE ZUNIGA	NONE	5659 VIA MONTE DR   (M)	M	4000	Apartment/Condo	30	Additions/Alterations	434	0	0	0	0	814007	N	N	N	NNNN
0		1/3/2001	0	2001-050051-000-00-MF	 	 JOSE ZUNIGA	NONE	5715 VIA MONTE DR   (M)	M	4000	Apartment/Condo	30	Additions/Alterations	434	0	0	0	0	814010	N	N	N	NNNN
0	23703059	1/3/2001	1	2001-050020-000-00-CI	 	  	NONE	1338 RIDDER PARK DR   (B)	B	4018	Manufacturing	30	Additions/Alterations		0	0	0	0	802867	N	N	Y	NNNN
0	24413015	1/3/2001	1	2001-050019-000-00-CI	 	  	NONE	1762 AUTOMATION PY   (E)	E	4018	Manufacturing	30	Additions/Alterations		0	0	0	0	801159	N	N	Y	NNNN
		1/3/2001		2001-007640-000-00-IR	 	NONE	NONE	380 2ND ST  380 2ND ST S		4010	Survey				0	0	0	0	827495	N	N	N	NNNN
0	47227097	1/3/2001	0	2001-050057-000-00-MF	 	  	NONE	502 4TH ST   (BP)	BP	4020	Multi Family	30	Additions/Alterations	434	0	0	0	0	814014	N	N	N	NNNN
0		1/3/2001	0	2001-050046-000-00-CI	 	CAL-AIR, INC.  HAROLD STENFORT	NONE	2107 1ST ST   (EM)	ME	4022	Office	30	Additions/Alterations		0	0	0	0	800447	N	N	Y	NNNN
5230	42943099	1/3/2001	2	2001-050040-000-00-RS	 	  	NONE	1567 PEREGRINO WY   (B)	B	4030	Single Family	220	ReRoof		0	0	0	0	800445	N	N	N	NNNN
		1/3/2001		2000-022347-000-00-BD	 	NONE	JUST WATER HEATERS INC   	2054 COLUSA WY  2054  COLUSA WY 	P-Complete	4054	Online Permits	30	Additions/Alterations		0	0	0	0	873675	N	N	N	NYNN
		1/3/2001		2000-022346-000-00-BD	 	NONE	HOT WATER INC   	5126 EPPLING LN  5126  EPPLING LN 	P-Complete	4054	Online Permits	30	Additions/Alterations		0	0	0	0	873674	N	N	N	NYNN
		1/3/2001		2000-022345-000-00-BD	 	NONE	JUST WATER HEATERS INC   	1508 BOUCHARD DR  1508  BOUCHARD DR 	P-Complete	4054	Online Permits	30	Additions/Alterations		0	0	0	0	873673	N	N	N	NYNN
		1/3/2001		2000-022344-000-00-BD	 	NONE	JUST WATER HEATERS INC   	1820 PARKVIEW GREEN CL  1820  PARKVIEW GREEN CL 	P-Complete	4054	Online Permits	30	Additions/Alterations		0	0	0	0	873672	N	N	N	NYNN
		1/3/2001		2000-022343-000-00-BD	 	NONE	JUST WATER HEATERS INC   	1860 SHERI ANN CL  1860  SHERI ANN CL 	P-Complete	4054	Online Permits	30	Additions/Alterations		0	0	0	0	873671	N	N	N	NYNN
		1/3/2001		2000-022340-000-00-BD	 	NONE	AIR DESIGN INC   	3165 BILBO DR  3165  BILBO DR 	M-Complete	4054	Online Permits	30	Additions/Alterations		0	0	0	0	873670	N	N	N	NNYN
		1/3/2001		2000-022341-000-00-BD	 	NONE	JUST WATER HEATERS INC   	2317 NEW JERSEY AV  2317  NEW JERSEY AV 	P-Complete	4054	Online Permits	30	Additions/Alterations		0	0	0	0	873669	N	N	N	NYNN
		1/3/2001		2000-022338-000-00-BD	 	NONE	JUST WATER HEATERS INC   	1145 JANIS WY  1145  JANIS WY 	P-Complete	4054	Online Permits	30	Additions/Alterations		0	0	0	0	873668	N	N	N	NYNN
5369	24542020	1/3/2001	556	2001-050009-000-00-RS	 	  	NONE	1112 SONG CT   (BEPM)	BPME	4030	Single Family	30	Additions/Alterations	434	0	0	0	0	802868	N	N	N	NNNN
		1/3/2001		2001-068583-000-00-BD	 	NONE	NONE	925 BLOSSOM HILL RD  925 BLOSSOM HILL RD  Suite: 176	B						0	0	0	0	818224	N	N	N	NNNN
		1/3/2001		2000-022364-000-00-BD	 	NONE	NONE	1448 WOODGROVE SQ 	P						0	0	0	0	818127	N	N	N	NNNN
		1/3/2001		2000-022363-000-00-BD	 	NONE	NONE	4624 CORRIDA CL 	P						0	0	0	0	818126	N	N	N	NNNN
		1/3/2001		2000-022362-000-00-BD	 	NONE	NONE	1117 NORSTAD ST 	P						0	0	0	0	818125	N	N	N	NNNN
		1/3/2001		2000-022361-000-00-BD	 	NONE	NONE	3103 SHRIVER DR 	P						0	0	0	0	818124	N	N	N	NNNN
		1/3/2001		2000-022360-000-00-BD	 	NONE	NONE	88 KEEBLE AV  88 KEEBLE AV S	P						0	0	0	0	818123	N	N	N	NNNN
		1/3/2001		2000-022359-000-00-BD	 	NONE	NONE	3844 EDENWOOD DR 	P						0	0	0	0	818122	N	N	N	NNNN
