Key SUBDESC:PERMITFLAG value: ('R & D Lab', 'YNNN'),  mean time (days): 96.1916167665,  stddev (days): 84.5883678616, number of entries: 167
Key SUBDESC:PERMITFLAG value: ('Medical/Dental Clinic', 'NNNY'),  mean time (days): 110.422222222,  stddev (days): 231.747883684, number of entries: 135
Key SUBDESC:PERMITFLAG value: ('Townhouse', 'NYNY'),  mean time (days): 102.266666667,  stddev (days): 128.67537597, number of entries: 15
Key SUBDESC:PERMITFLAG value: ('Hotel/Motel', 'NNNY'),  mean time (days): 165.228571429,  stddev (days): 215.49260745, number of entries: 35
Key SUBDESC:PERMITFLAG value: ('Multiple Use', 'YNYN'),  mean time (days): 2080.0,  stddev (days): nan, number of entries: 1
Key SUBDESC:PERMITFLAG value: ('Industrial Plant', 'YNNY'),  mean time (days): 258.115384615,  stddev (days): 238.669030571, number of entries: 26
Key SUBDESC:PERMITFLAG value: ('', 'YNNN'),  mean time (days): 11992.25,  stddev (days): 7243.51095234, number of entries: 4
Key SUBDESC:PERMITFLAG value: ('Assembly', 'NNYN'),  mean time (days): 156.285714286,  stddev (days): 137.533891927, number of entries: 7
Key SUBDESC:PERMITFLAG value: ('SRO/Fraternity/Shelter', 'YYNY'),  mean time (days): 97.0,  stddev (days): nan, number of entries: 1
Key SUBDESC:PERMITFLAG value: ('Retail', 'NYYY'),  mean time (days): 191.666666667,  stddev (days): 313.39058757, number of entries: 54
Key SUBDESC:PERMITFLAG value: ('Multiple Use', 'NNYN'),  mean time (days): 755.25,  stddev (days): 854.617019489, number of entries: 4
Key SUBDESC:PERMITFLAG value: ('Open Public Parking Garage', 'YYYN'),  mean time (days): 447.0,  stddev (days): nan, number of entries: 1
Key SUBDESC:PERMITFLAG value: ('Retail', 'YYNY'),  mean time (days): 181.757142857,  stddev (days): 226.76323059, number of entries: 210
Key SUBDESC:PERMITFLAG value: ('Bank', 'YYNN'),  mean time (days): 180.0,  stddev (days): 62.2253967444, number of entries: 2
Key SUBDESC:PERMITFLAG value: ('Manufacturing', 'NNNN'),  mean time (days): 197.73715415,  stddev (days): 394.695305572, number of entries: 506
Key SUBDESC:PERMITFLAG value: ('Permit Search', 'NNNN'),  mean time (days): -1.5,  stddev (days): 11.9837853415, number of entries: 10
Key SUBDESC:PERMITFLAG value: ('', 'NNNN'),  mean time (days): 411.500582751,  stddev (days): 1912.98610384, number of entries: 5148
Key SUBDESC:PERMITFLAG value: ('Bank', 'NYYN'),  mean time (days): 57.5,  stddev (days): 19.091883092, number of entries: 2
Key SUBDESC:PERMITFLAG value: ('Recreation Building', 'NNNN'),  mean time (days): 682.25,  stddev (days): 266.406644061, number of entries: 8
Key SUBDESC:PERMITFLAG value: ('Convalescent/Residential Care', 'YNNN'),  mean time (days): 148.2,  stddev (days): 172.394122096, number of entries: 10
Key SUBDESC:PERMITFLAG value: ('Assembly', 'YYNY'),  mean time (days): 155.25,  stddev (days): 171.0971946, number of entries: 4
Key SUBDESC:PERMITFLAG value: ('High Rise', 'NNYY'),  mean time (days): 234.0,  stddev (days): nan, number of entries: 1
Key SUBDESC:PERMITFLAG value: ('Residential Care', 'NYYY'),  mean time (days): 66.0,  stddev (days): 65.6242748878, number of entries: 12
Key SUBDESC:PERMITFLAG value: ('Temporary Use', 'NYYY'),  mean time (days): 36.0,  stddev (days): nan, number of entries: 1
Key SUBDESC:PERMITFLAG value: ('Store', 'YYNN'),  mean time (days): 75.3333333333,  stddev (days): 82.2820353014, number of entries: 3
Key SUBDESC:PERMITFLAG value: ('Repair Garage', 'NYNN'),  mean time (days): 76.1052631579,  stddev (days): 127.452777633, number of entries: 19
Key SUBDESC:PERMITFLAG value: ('Multiple Use', 'YYYN'),  mean time (days): 9.0,  stddev (days): nan, number of entries: 1
Key SUBDESC:PERMITFLAG value: ('Bank', 'YYYN'),  mean time (days): 101.75,  stddev (days): 23.9774199335, number of entries: 4
Key SUBDESC:PERMITFLAG value: ('R & D Lab', 'YNNY'),  mean time (days): 97.8956521739,  stddev (days): 113.491585121, number of entries: 115
Key SUBDESC:PERMITFLAG value: ('Online Permits', 'NYYN'),  mean time (days): 25.0,  stddev (days): nan, number of entries: 1
Key SUBDESC:PERMITFLAG value: ('Apartment', 'NYNY'),  mean time (days): 196.943548387,  stddev (days): 295.326698041, number of entries: 124
Key SUBDESC:PERMITFLAG value: ('High Rise', 'NYNN'),  mean time (days): 67.5,  stddev (days): 38.5616389693, number of entries: 4
Key SUBDESC:PERMITFLAG value: ('Apt/Condo/Townhouse', 'YNYN'),  mean time (days): 74.0,  stddev (days): 61.4125394362, number of entries: 5
Key SUBDESC:PERMITFLAG value: ('Mixed Use', 'NYYN'),  mean time (days): 342.8,  stddev (days): 432.665228554, number of entries: 5
Key SUBDESC:PERMITFLAG value: ('Medical/Dental Clinic', 'YYNY'),  mean time (days): 229.103448276,  stddev (days): 160.130380991, number of entries: 29
Key SUBDESC:PERMITFLAG value: ('Antenna/Cell Site', 'YNYN'),  mean time (days): 77.0,  stddev (days): nan, number of entries: 1
Key SUBDESC:PERMITFLAG value: ('Agricultural Building', 'NNNN'),  mean time (days): 603.0,  stddev (days): nan, number of entries: 1
Key SUBDESC:PERMITFLAG value: ('Hazardous Use', 'YNNN'),  mean time (days): 153.0,  stddev (days): 142.075432681, number of entries: 8
Key SUBDESC:PERMITFLAG value: ('Medical/Dental Clinic', 'NYYN'),  mean time (days): 127.892857143,  stddev (days): 108.85475858, number of entries: 28
Key SUBDESC:PERMITFLAG value: ('Service Station', 'NNYN'),  mean time (days): 17.0,  stddev (days): nan, number of entries: 1
Key SUBDESC:PERMITFLAG value: ('Undefined', 'YYYN'),  mean time (days): 286.0,  stddev (days): 276.143078856, number of entries: 5
Key SUBDESC:PERMITFLAG value: ('Retail', 'NNNY'),  mean time (days): 88.4865819209,  stddev (days): 139.051856878, number of entries: 1416
Key SUBDESC:PERMITFLAG value: ('Hazardous Use', 'NYYN'),  mean time (days): 12.0,  stddev (days): 7.07106781187, number of entries: 2
Key SUBDESC:PERMITFLAG value: ('Store', 'NYYY'),  mean time (days): 98.0,  stddev (days): 29.6984848098, number of entries: 2
Key SUBDESC:PERMITFLAG value: ('Medical/Dental Clinic', 'YNNY'),  mean time (days): 234.802197802,  stddev (days): 247.524150103, number of entries: 91
Key SUBDESC:PERMITFLAG value: ('Recreation Building', 'YYNN'),  mean time (days): 380.0,  stddev (days): 502.68744431, number of entries: 4
Key SUBDESC:PERMITFLAG value: ('Mixed Use', 'YNYY'),  mean time (days): 324.166666667,  stddev (days): 467.971023449, number of entries: 12
Key SUBDESC:PERMITFLAG value: ('High Rise', 'NNNY'),  mean time (days): 41.5,  stddev (days): 21.7332310836, number of entries: 4
Key SUBDESC:PERMITFLAG value: ('Medical/Dental Clinic', 'YYYY'),  mean time (days): 214.014705882,  stddev (days): 211.278318354, number of entries: 340
Key SUBDESC:PERMITFLAG value: ('Plan Retrieval/Copy', 'NNNN'),  mean time (days): -2.4,  stddev (days): 83.4668264109, number of entries: 10
Key SUBDESC:PERMITFLAG value: ('Closed Public Parking Garage', 'YNYY'),  mean time (days): 291.0,  stddev (days): nan, number of entries: 1
Key SUBDESC:PERMITFLAG value: ('Restaurant', 'YNNN'),  mean time (days): 154.36802974,  stddev (days): 229.98892385, number of entries: 269
Key SUBDESC:PERMITFLAG value: ('Service Station', 'NYNN'),  mean time (days): 97.0303030303,  stddev (days): 90.406196154, number of entries: 33
Key SUBDESC:PERMITFLAG value: ('Apt/Condo/Townhouse', 'YYYN'),  mean time (days): 499.333333333,  stddev (days): 774.845446955, number of entries: 6
